14:33:36 203	Load Setting ok
14:33:36 245	RKAndroidTool v1.3.7.0 Start Run
14:33:36 245	Scan thread:2948
14:33:36 246	Info:(thread=13868)IoControlProc-->DeviceIoControl In
14:33:36 246	Info:(thread=13868)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:33:36 247	Info:(thread=10036)IoControlProc-->DeviceIoControl In
14:33:36 247	Info:(thread=10036)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:33:36 250	Info:(thread=10612)IoControlProc-->DeviceIoControl In
14:33:36 251	Info:(thread=10612)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:33:36 251	Info:(thread=9440)IoControlProc-->DeviceIoControl In
14:33:36 251	Info:(thread=9440)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:33:36 273	ProcessID:18504,ThreadID:11920,RefCount:0
14:33:36 274	ProcessID:18504,ThreadID:2948,RefCount:0
14:34:28 725	INFO:开始擦除IDB
14:34:28 726	INFO:开始低格设备
14:34:36 754	INFO:低格设备成功
14:34:36 757	INFO:擦除IDB成功
14:34:40 040	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3996
14:34:40 041	INFO:开始测试设备
14:34:40 042	INFO:执行开始
14:34:40 044	INFO:测试设备成功
14:34:40 046	INFO:开始写入ID_BLOCK
14:34:40 048	Flash Chip Information:
14:34:40 049	NO		SIZE(MB)	Manufacturer
14:34:40 049	----------------------------------------------
14:34:40 050	0		4096MB	HYNIX
14:34:40 050	----------------------------------------------
14:34:40 050	INFO:BuildFlashStateMap start
14:34:40 051	INFO: FindAllIDB start
14:34:40 054	INFO:UpdateIDBData start
14:34:40 075	INFO:Serial Number(0):
14:34:40 076	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:34:40 076	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:34:40 076	INFO:UID(0):
14:34:40 076	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:34:40 076	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:34:40 077	INFO:BlueTooth(0):
14:34:40 077	00000000: 00 00 00 00 00 00 
14:34:40 077	INFO:Mac(0):
14:34:40 077	00000000: 00 00 00 00 00 00 
14:34:40 077	INFO:WriteXIDBlock start
14:34:40 078	INFO:MakeEccSpareData start
14:34:40 086	INFO:WriteXIDBlock start
14:34:40 088	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
14:34:40 088	INFO:Writing sector 00000000 ~ 00000015 ... 
14:34:40 092	INFO:Reading sector 00000000 ~ 00000015 ... 
14:34:40 093	INFO:check start
14:34:40 094	INFO:Writing sector 00000016 ~ 00000031 ... 
14:34:40 098	INFO:Reading sector 00000016 ~ 00000031 ... 
14:34:40 099	INFO:check start
14:34:40 100	INFO:Writing sector 00000032 ~ 00000047 ... 
14:34:40 104	INFO:Reading sector 00000032 ~ 00000047 ... 
14:34:40 105	INFO:check start
14:34:40 106	INFO:Writing sector 00000048 ~ 00000063 ... 
14:34:40 110	INFO:Reading sector 00000048 ~ 00000063 ... 
14:34:40 111	INFO:check start
14:34:40 111	INFO:Writing sector 00000064 ~ 00000079 ... 
14:34:40 115	INFO:Reading sector 00000064 ~ 00000079 ... 
14:34:40 117	INFO:check start
14:34:40 117	INFO:Writing sector 00000080 ~ 00000095 ... 
14:34:40 121	INFO:Reading sector 00000080 ~ 00000095 ... 
14:34:40 123	INFO:check start
14:34:40 123	INFO:Writing sector 00000096 ~ 00000111 ... 
