08:49:58 297	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=25528
08:49:58 300	INFO:开始测试设备
08:49:58 303	INFO:执行开始
08:49:58 326	INFO:测试设备成功
08:49:58 337	INFO:开始下载文件
08:49:58 343	INFO: Start to download files to flash,backup offset=0x20000
08:49:58 348	INFO:开始下载文件到Flash
08:49:58 348	Info:RKA_File_Download start,file=kernel,offset=0x4000
08:49:59 158	Info:RKA_File_Download start,file=boot,offset=0x8000
08:49:59 417	Info:RKA_File_Download start,file=system,offset=0x282000
08:50:55 825	INFO: Download files to flash finished,Total(379911980)B
08:50:55 826	INFO: Start to check data
08:50:55 833	INFO:开始校验下载数据
08:50:55 833	Info:RKA_File_Check start,file=kernel,offset=0x4000
08:50:56 422	Info:RKA_File_Check start,file=boot,offset=0x8000
08:50:56 600	Info:RKA_File_Check start,file=system,offset=0x282000
08:51:23 432	INFO:下载文件成功,耗时(85078MS)
08:51:23 441	INFO:执行成功
08:55:28 001	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=26088
08:55:28 002	INFO:开始测试设备
08:55:28 003	INFO:执行开始
08:55:28 028	INFO:测试设备成功
08:55:28 032	INFO:开始下载文件
08:55:28 036	INFO: Start to download files to flash,backup offset=0x20000
08:55:28 040	INFO:开始下载文件到Flash
08:55:28 041	Info:RKA_File_Download start,file=kernel,offset=0x4000
08:55:28 876	INFO: Download files to flash finished,Total(4078324)B
08:55:28 877	INFO: Start to check data
08:55:28 891	INFO:开始校验下载数据
08:55:28 948	Info:RKA_File_Check start,file=kernel,offset=0x4000
08:55:29 264	INFO:下载文件成功,耗时(1235MS)
08:55:29 276	INFO:执行成功
08:56:40 870	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=656
08:56:40 870	INFO:开始测试设备
08:56:40 871	INFO:执行开始
08:56:40 879	INFO:测试设备成功
08:56:40 884	INFO:开始下载文件
08:56:40 888	INFO: Start to download files to flash,backup offset=0x20000
08:56:40 892	INFO:开始下载文件到Flash
08:56:40 893	Info:RKA_File_Download start,file=kernel,offset=0x4000
08:56:41 675	Info:RKA_File_Download start,file=boot,offset=0x8000
08:56:41 939	Info:RKA_File_Download start,file=system,offset=0x282000
08:57:35 812	INFO: Download files to flash finished,Total(379987609)B
08:57:35 813	INFO: Start to check data
08:57:35 828	INFO:开始校验下载数据
08:57:35 829	Info:RKA_File_Check start,file=kernel,offset=0x4000
08:57:36 406	Info:RKA_File_Check start,file=boot,offset=0x8000
08:57:36 597	Info:RKA_File_Check start,file=system,offset=0x282000
08:58:05 373	INFO:下载文件成功,耗时(84484MS)
08:58:05 383	INFO:执行成功
08:59:33 392	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=26088
08:59:33 393	INFO:开始测试设备
08:59:33 394	INFO:执行开始
08:59:33 402	INFO:测试设备成功
08:59:33 407	INFO:开始下载文件
08:59:33 412	INFO: Start to download files to flash,backup offset=0x20000
08:59:33 417	INFO:开始下载文件到Flash
08:59:33 476	Info:RKA_File_Download start,file=misc,offset=0x2000
08:59:33 494	Info:RKA_File_Download start,file=kernel,offset=0x4000
08:59:34 638	Info:RKA_File_Download start,file=boot,offset=0x8000
08:59:34 969	Info:RKA_File_Download start,file=recovery,offset=0x10000
08:59:38 878	Info:RKA_File_Download start,file=system,offset=0x282000
09:01:07 558	INFO: Download files to flash finished,Total(396055132)B
09:01:07 558	INFO: Start to check data
09:01:07 573	INFO:开始校验下载数据
09:01:07 637	Info:RKA_File_Check start,file=misc,offset=0x2000
09:01:07 660	Info:RKA_File_Check start,file=kernel,offset=0x4000
09:01:08 248	Info:RKA_File_Check start,file=boot,offset=0x8000
09:01:08 426	Info:RKA_File_Check start,file=recovery,offset=0x10000
09:01:10 277	Info:RKA_File_Check start,file=system,offset=0x282000
09:01:39 524	INFO:下载文件成功,耗时(126110MS)
09:01:39 536	INFO:执行成功
09:04:01 140	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=15180
09:04:01 141	INFO:开始测试设备
09:04:01 142	INFO:执行开始
09:04:01 151	INFO:测试设备成功
09:04:01 156	INFO:开始下载文件
09:04:01 160	INFO: Start to download files to flash,backup offset=0x20000
09:04:01 165	INFO:开始下载文件到Flash
09:04:01 165	Info:RKA_File_Download start,file=misc,offset=0x2000
09:04:01 180	INFO: Download files to flash finished,Total(49152)B
09:04:01 192	INFO: Start to check data
09:04:01 195	INFO:开始校验下载数据
09:04:01 196	Info:RKA_File_Check start,file=misc,offset=0x2000
09:04:01 206	INFO:下载文件成功,耗时(47MS)
09:04:01 212	INFO:执行成功
09:07:16 382	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=9688
09:07:16 383	INFO:开始测试设备
09:07:16 384	INFO:执行开始
09:07:16 395	INFO:测试设备成功
09:07:16 400	INFO:开始下载文件
09:07:16 405	INFO: Start to download files to flash,backup offset=0x20000
09:07:16 410	INFO:开始下载文件到Flash
09:07:16 411	Info:RKA_File_Download start,file=misc,offset=0x2000
09:07:16 430	Info:RKA_File_Download start,file=kernel,offset=0x4000
09:07:17 612	Info:RKA_File_Download start,file=recovery,offset=0x10000
09:07:20 826	INFO: Download files to flash finished,Total(16748428)B
09:07:20 828	INFO: Start to check data
09:07:20 838	INFO:开始校验下载数据
09:07:20 839	Info:RKA_File_Check start,file=misc,offset=0x2000
09:07:20 858	Info:RKA_File_Check start,file=kernel,offset=0x4000
